Date,HG_Price,HG1_logret,DXY_Price,DXY_logret,PMI,PMI_change,LME_Stocks,STOCKS_logret,Forecasted_Return,Signal,Model_Alpha,Model_Beta_DXY,Model_Beta_PMI,Model_Beta_STOCKS,Model_R2
2024-06-25,6.58,-1.2084739215072,159.07,0.42208775299434853,49.5,0.0,172850,2.9502396542818423,-0.046160564217260655,NEUTRAL,0.035644106713172655,-0.07317815620585912,1.540289445547783,-0.0803315915070892,0.037505586325763285
2024-06-26,6.57,-0.15209128407066203,159.44,0.23233189942702925,49.5,0.0,175475,1.5072416248851688,-0.2338993099605538,SHORT,0.03670888515021908,-0.07484593248105988,1.5649975801802338,-0.0810160094289892,0.0381809572578059
2024-06-27,6.53,-0.610688920817945,159.05,-0.24490577093861282,49.5,0.0,177750,1.2881486066865113,-0.10252250818163426,SHORT,0.038585093666402434,-0.07406927756788381,1.6104857231980418,-0.08220244442289855,0.03928422549399535
2024-06-28,6.58,0.7627802048886068,158.52,-0.3337849872918849,49.5,0.0,180125,1.3272985636335997,-0.04184914334079483,NEUTRAL,0.04847787890238871,-0.06905674384107797,1.7355926516819726,-0.08325081188260076,0.041067315889473543
2024-07-01,6.64,0.9077218151116679,159.24,0.4531729809882099,49.49090909090909,-0.0030303030303002743,180050,-0.04164642248019464,-0.03921326805653867,NEUTRAL,0.04844139402590736,-0.06935222045741844,1.7491784881286114,-0.08348038274309222,0.04131419402284631
2024-07-02,6.63,-0.1507159290571363,158.66,-0.3648950258259613,49.487878787878785,-0.0030303030303073797,184475,2.427936284954619,0.015011018740528924,NEUTRAL,0.04764901879763443,-0.06856343299087736,1.707908657028417,-0.08664792368999134,0.04290508545277083
2024-07-03,6.75,1.793770068666725,156.84,-1.1537370449725997,49.484848484848484,-0.0030303030303002743,186450,1.0649153680399537,-0.14231160284714492,SHORT,0.048016602133305324,-0.06881799336220726,1.6872991928487457,-0.08662769360623902,0.04283749840095896
2024-07-05,6.91,2.342713289514015,155.67,-0.7487795376373027,49.47878787878788,-0.0030303030303073797,191625,2.737723056714832,0.030450540852158602,NEUTRAL,0.04663368527925182,-0.07016737529444558,1.6709941824428372,-0.08646154303096237,0.042880628001054966
2024-07-08,6.85,-0.8720985505444652,155.64,-0.019273393140510686,49.46969696969697,-0.0030303030303002743,191475,-0.07830853963210267,-0.12958319250696437,SHORT,0.05396675533998459,-0.07505743514751627,1.7282214217578638,-0.08566037541538689,0.043079577124969015
2024-07-09,6.8,-0.7326040092072897,156.15,0.32714356127349137,49.46666666666667,-0.0030303030303002743,191025,-0.2352942262026839,0.0638037920830823,LONG,0.06088832026089768,-0.07473399570502197,1.6670177083122162,-0.08334548167704063,0.040676484921329914
2024-07-10,6.83,0.4402061400637665,155.79,-0.23081372047503548,49.46363636363636,-0.0030303030303073797,195475,2.302818447694731,0.05908711021618846,LONG,0.06748802395257233,-0.06609507416987599,1.424985659357121,-0.07454412653866113,0.03286946360831566
