position_id,entry_date,exit_date,contract,entry_price,exit_price,num_contracts,direction,directional_pnl,transaction_costs,net_pnl,exit_reason,holding_days,stop_loss,atr,carry_spread,carry_multiplier
44,2024-07-15,2024-07-16,HGU24,6.76,6.71,17,LONG,-21249.999999999924,1105.0,-22354.999999999924,SIGNAL_REVERSAL,1,6.536071428571428,0.15357142857142866,0.0,1.0
45,2024-07-16,2024-07-18,HGU24,6.71,6.56,16,SHORT,60000.000000000146,1040.0,58960.000000000146,SIGNAL_REVERSAL,2,6.940357142857143,0.15285714285714297,0.0,1.0
46,2024-07-19,2024-07-23,HGU24,6.37,6.34,15,SHORT,11250.000000000095,975.0,10275.000000000095,SIGNAL_REVERSAL,4,6.621785714285714,0.16428571428571445,0.009999999999999787,1.0
47,2024-07-25,2024-07-26,HGU24,6.23,6.28,16,SHORT,-19999.999999999927,1040.0,-21039.999999999927,ROLL,1,6.471071428571429,0.15642857142857164,0.009999999999999787,1.0
48,2024-07-26,2024-07-29,HGV24,6.33,6.29,16,SHORT,16000.000000000015,1040.0,14960.000000000015,SIGNAL_REVERSAL,3,,0.15642857142857164,0.009999999999999787,1.0
49,2024-07-29,2024-07-30,HGV24,6.29,6.26,8,LONG,-6000.00000000005,520.0,-6520.00000000005,SIGNAL_REVERSAL,1,6.060714285714285,0.15214285714285733,0.019999999999999574,0.5
50,2024-08-02,2024-08-05,HGV24,6.26,6.38,21,SHORT,-63000.00000000006,1365.0,-64365.00000000006,SIGNAL_REVERSAL,3,6.442142857142857,0.12142857142857137,0.03000000000000025,1.0
51,2024-08-06,2024-08-07,HGV24,6.21,6.11,19,SHORT,47499.999999999825,1235.0,46264.999999999825,SIGNAL_REVERSAL,1,6.407142857142857,0.13428571428571415,0.03000000000000025,1.0
52,2024-08-08,2024-08-09,HGV24,6.01,6.11,19,SHORT,-47500.00000000025,1235.0,-48735.00000000025,SIGNAL_REVERSAL,1,6.206071428571428,0.13214285714285698,0.03000000000000025,1.0
53,2024-08-14,2024-08-15,HGV24,6.12,6.11,20,SHORT,4999.999999999893,1300.0,3699.9999999998927,SIGNAL_REVERSAL,1,6.313928571428572,0.12357142857142847,0.02999999999999936,1.0
54,2024-08-20,2024-08-21,HGV24,6.22,6.18,4,LONG,-4000.0000000000036,260.0,-4260.000000000004,SIGNAL_REVERSAL,1,6.023928571428572,0.12571428571428558,0.03000000000000025,0.25
55,2024-08-21,2024-08-22,HGV24,6.18,6.28,20,SHORT,-50000.00000000026,1300.0,-51300.00000000026,SIGNAL_REVERSAL,1,6.368571428571428,0.1164285714285713,0.019999999999999574,1.0
56,2024-08-26,2024-08-27,HGV24,6.21,6.22,6,LONG,1499.999999999968,390.0,1109.999999999968,ROLL,1,6.050357142857143,0.10285714285714276,0.03000000000000025,0.25
57,2024-08-27,2024-08-28,HGX24,6.3,6.25,6,LONG,-7499.999999999973,390.0,-7889.999999999973,SIGNAL_REVERSAL,1,,0.10285714285714276,0.03000000000000025,0.25
58,2024-08-30,2024-09-03,HGX24,6.14,6.17,25,SHORT,-18750.000000000156,1625.0,-20375.000000000156,SIGNAL_REVERSAL,4,6.291071428571429,0.10000000000000002,0.03000000000000025,1.0
59,2024-09-05,2024-09-09,HGX24,6.05,6.09,6,LONG,6000.0000000000055,390.0,5610.0000000000055,SIGNAL_REVERSAL,4,5.909642857142857,0.09499999999999988,0.040000000000000036,0.25
60,2024-09-12,2024-09-23,HGX24,6.19,6.27,5,LONG,9999.999999999898,325.0,9674.999999999898,ROLL,11,6.019642857142857,0.117142857142857,0.03999999999999915,0.25
61,2024-09-23,2024-09-26,HGZ24,6.32,6.47,5,LONG,18749.999999999935,325.0,18424.999999999935,SIGNAL_REVERSAL,3,,0.117142857142857,0.03999999999999915,0.25
62,2024-09-27,2024-10-02,HGZ24,6.64,6.65,4,LONG,1000.0000000000675,260.0,740.0000000000675,SIGNAL_REVERSAL,5,6.424642857142857,0.1414285714285714,0.04999999999999982,0.25
63,2024-10-04,2024-10-07,HGZ24,6.69,6.76,13,LONG,22749.999999999804,845.0,21904.999999999804,SIGNAL_REVERSAL,3,6.408214285714286,0.18428571428571422,0.009999999999999787,1.0
64,2024-10-14,2024-10-17,HGZ24,6.62,6.52,3,LONG,-7500.00000000004,195.0,-7695.00000000004,SIGNAL_REVERSAL,3,6.329642857142858,0.18357142857142858,0.020000000000000462,0.25
65,2024-10-18,2024-10-22,HGZ24,6.46,6.52,7,LONG,10499.99999999993,455.0,10044.99999999993,SIGNAL_REVERSAL,4,6.195357142857143,0.1557142857142857,0.019999999999999574,0.5
66,2024-10-23,2024-10-24,HGZ24,6.61,6.53,8,LONG,-16000.000000000015,520.0,-16520.000000000015,ROLL,1,6.3828571428571435,0.14499999999999996,0.019999999999999574,0.5
67,2024-10-24,2024-10-29,HGF25,6.55,6.66,8,LONG,22000.000000000065,520.0,21480.000000000065,SIGNAL_REVERSAL,5,,0.14499999999999996,0.019999999999999574,0.5
68,2024-11-01,2024-11-04,HGF25,6.66,6.67,12,LONG,2999.999999999936,780.0,2219.999999999936,SIGNAL_REVERSAL,3,6.507857142857143,0.0971428571428571,0.019999999999999574,0.5
69,2024-11-06,2024-11-07,HGF25,6.79,6.36,6,LONG,-64499.999999999956,390.0,-64889.999999999956,SIGNAL_REVERSAL,1,6.646428571428571,0.10857142857142854,0.02999999999999936,0.25
70,2024-11-08,2024-11-11,HGF25,6.73,6.6,5,LONG,-16250.000000000098,325.0,-16575.0000000001,SIGNAL_REVERSAL,3,6.546785714285715,0.1257142857142857,0.03000000000000025,0.25
71,2024-11-14,2024-11-15,HGF25,6.31,6.35,18,SHORT,-18000.000000000015,1170.0,-19170.000000000015,SIGNAL_REVERSAL,1,6.516785714285714,0.14428571428571427,0.03000000000000025,1.0
72,2024-11-19,2024-11-20,HGF25,6.36,6.44,8,LONG,16000.000000000015,520.0,15480.000000000015,SIGNAL_REVERSAL,1,6.139285714285714,0.15071428571428575,0.019999999999999574,0.5
73,2024-11-26,2024-11-27,HGF25,6.34,6.3,4,LONG,-4000.0000000000036,260.0,-4260.000000000004,ROLL,1,6.117142857142857,0.13071428571428573,0.040000000000000036,0.25
74,2024-11-27,2024-12-02,HGG25,6.35,6.38,4,LONG,3000.000000000025,260.0,2740.000000000025,SIGNAL_REVERSAL,5,,0.13071428571428573,0.040000000000000036,0.25
75,2024-12-03,2024-12-04,HGG25,6.36,6.48,38,SHORT,-114000.0000000001,2470.0,-116470.0000000001,SIGNAL_REVERSAL,1,6.459642857142858,0.0685714285714287,0.03000000000000025,1.0
76,2024-12-04,2024-12-05,HGG25,6.48,6.49,9,LONG,2249.999999999952,585.0,1664.9999999999518,SIGNAL_REVERSAL,1,6.377142857142857,0.06714285714285724,0.03000000000000025,0.25
77,2024-12-10,2024-12-11,HGG25,6.68,6.71,8,LONG,6000.00000000005,520.0,5480.00000000005,SIGNAL_REVERSAL,1,6.5675,0.07999999999999995,0.03000000000000025,0.25
78,2024-12-16,2024-12-17,HGG25,6.56,6.58,27,SHORT,-13500.000000000311,1755.0,-15255.000000000311,SIGNAL_REVERSAL,1,6.698214285714285,0.0942857142857143,0.03000000000000025,1.0
