position_id,entry_date,exit_date,contract,entry_price,exit_price,num_contracts,direction,directional_pnl,transaction_costs,net_pnl,exit_reason,holding_days,initial_stop,final_stop,highest_price,lowest_price,atr,carry_spread,carry_multiplier
17,2025-05-05,2025-05-06,HGN25,7.25,7.37,5,LONG,15000.000000000015,325.0,14675.000000000015,RISK_SCANNER: Structure shock: z-score=-3.81,1,6.8975,6.8975,7.25,,0.22714285714285726,0.040000000000000036,0.25
18,2025-05-09,2025-05-12,HGN25,7.25,7.25,22,SHORT,0.0,1430.0,-1430.0,SIGNAL_REVERSAL,3,7.583214285714286,7.583214285714286,,7.25,0.23785714285714293,0.03000000000000025,1.0
19,2025-05-13,2025-05-14,HGN25,7.31,7.2,21,SHORT,57749.9999999997,1365.0,56384.9999999997,SIGNAL_REVERSAL,1,7.658214285714285,7.554642857142857,,7.2,0.2335714285714286,0.040000000000000036,1.0
20,2025-05-14,2025-05-15,HGN25,7.2,7.31,5,LONG,13749.999999999929,325.0,13424.999999999929,SIGNAL_REVERSAL,1,6.849642857142857,6.958571428571428,7.31,,0.23642857142857146,0.040000000000000036,0.25
21,2025-05-20,2025-05-21,HGN25,7.27,7.23,5,LONG,-4999.999999999893,325.0,-5324.999999999893,RISK_SCANNER: Structure shock: z-score=-3.68,1,6.914285714285714,6.914285714285714,7.27,,0.20857142857142857,0.040000000000000036,0.25
22,2025-05-22,2025-05-23,HGN25,7.29,7.47,6,LONG,26999.999999999956,390.0,26609.999999999956,ROLL,1,6.980357142857143,7.126071428571429,7.47,,0.21214285714285705,0.04999999999999982,0.25
23,2025-05-23,2025-05-28,HGQ25,7.51,7.28,6,LONG,-34499.99999999993,390.0,-34889.99999999993,SIGNAL_REVERSAL,5,0.0,7.178928571428571,7.51,,0.21214285714285705,0.04999999999999982,0.25
24,2025-05-30,2025-06-04,HGQ25,7.27,7.56,5,LONG,36250.00000000001,325.0,35925.00000000001,SIGNAL_REVERSAL,5,6.9475,7.305,7.56,,0.19499999999999998,0.040000000000000036,0.25
25,2025-06-05,2025-06-13,HGQ25,7.6,7.45,7,LONG,-26249.99999999991,455.0,-26704.99999999991,STOP_LIMIT_FILLED,8,7.345,7.3675,7.6,,0.17642857142857155,0.040000000000000036,0.25
26,2025-06-16,2025-06-20,HGQ25,7.44,7.51,8,LONG,13999.99999999988,520.0,13479.99999999988,SIGNAL_REVERSAL,4,7.2075000000000005,7.290357142857143,7.51,,0.14999999999999997,0.040000000000000036,0.25
