Date,HG_Price,HG1_logret,DXY_Price,DXY_logret,PMI,PMI_change,LME_Stocks,STOCKS_logret,Realized_Vol_Daily,Realized_Vol_Ann,Vol_Regime,Forecasted_Return,Signal,Model_Alpha,Model_Beta_DXY,Model_Beta_PMI,Model_Beta_STOCKS,Model_R2
2024-10-01,6.66,1.5128881596300219,146.9,1.1158003295039476,49.8,0.6999999999999957,300175,-0.14148394020924313,1.392208589617509,22.100626207535456,NORMAL,0.0526401279059855,NEUTRAL,0.022410820073445685,-0.10821133992987224,0.01695008894945263,-0.0790206380039079,0.038599181735492594
2024-10-02,6.76,1.490340550257495,147.78,0.5972598180669955,49.8,0.6999999999999957,300275,0.03330835237723503,1.3923057216009074,22.10216812996999,NORMAL,-0.07690418375808192,NEUTRAL,0.02192158737896829,-0.1081923839130057,0.015239709009012774,-0.07935550960756169,0.03874580470935818
2024-10-03,6.66,-1.4903405502574918,149.1,0.8892540410191114,49.8,0.6999999999999957,298100,-0.7269720756528258,1.4382640931192596,22.831734660164436,NORMAL,-0.030920959572271783,NEUTRAL,0.02468322071223679,-0.107365606340884,0.01590911940992913,-0.07852088665416526,0.037822669086927
2024-10-04,6.73,1.0455659104338708,150.75,1.1005613836602106,49.8,0.6999999999999957,298525,0.14246807354226423,1.3755178093434686,21.835668284779054,NORMAL,9.082405130949808e-05,NEUTRAL,0.02510813621744065,-0.10631379789369187,0.01798704866789324,-0.0783135007053375,0.03755481472167865
2024-10-07,6.75,0.2967361227802008,151.58,0.549070277658838,49.8,0.6999999999999957,297300,-0.411195141539634,1.2851640432516935,20.40134671419743,NORMAL,-0.09464459120899134,NEUTRAL,0.023697045332801703,-0.10803011878690827,0.016694362484919067,-0.07815023391073428,0.03757351002556075
2024-10-08,6.62,-1.944713493552155,152.39,0.5329485917886044,49.8,0.6999999999999957,296275,-0.34536529295397,1.3476366364356416,21.39306838612964,NORMAL,0.014304709218035172,NEUTRAL,0.027885115438343912,-0.10335728223370237,0.015305838857711238,-0.07893069483236334,0.03759859573654056
2024-10-09,6.55,-1.063032030175637,153.3,0.595376157599929,49.8,0.6999999999999957,294825,-0.49061170984786573,1.364770498462373,21.66506001365459,NORMAL,0.011472076571873411,NEUTRAL,0.02890654913082272,-0.10368331760586823,0.015086124048264357,-0.07893994930439463,0.03764824682663692
2024-10-10,6.59,0.6088298867255355,153.21,-0.058725655010621346,49.8,0.6999999999999957,299350,1.523149739532729,1.3662574605314008,21.688664804716392,NORMAL,0.012726642296036598,NEUTRAL,0.027463213194937466,-0.10427989158328393,0.013066552773278506,-0.07786728803811732,0.03654028824433109
2024-10-11,6.66,1.0566136037881906,152.52,-0.4513794338299201,49.8,0.6999999999999957,297550,-0.6031179280500033,1.3757352268471308,21.83911968065123,NORMAL,-0.07787397945343319,NEUTRAL,0.0252956750620355,-0.10466802957055266,0.012870722959905566,-0.07768498139841737,0.036438682445780746
2024-10-14,6.55,-1.6654434905137234,153.57,0.6860754148238538,49.8,0.6999999999999957,292850,-1.5921745555069735,1.438401825543568,22.833921094617573,NORMAL,0.13000728121497998,NEUTRAL,0.02675784830196768,-0.10498646202911567,0.012996384388865113,-0.07753580498177645,0.03637891248073122
